Child Name,Email Address,Contact,follow up,response,Introduction,"Activity:- Know your personality, a fun way",A Simple Quiz on the previous Video,Lets see what ‘Product’ is…,A Simple Quiz on the previous Video,Product that represents me,Let's see what 'Service' means,A Simple Quiz on the previous Video,Instruction for 'Product &amp; Service' worksheet,Activity:- Product and Service Worksheet,Instructions for Product Word Association,Activity:- Product Word Association,Life without products??.... Impossible !,What Is a Need?,A Simple Quiz on the previous Video,Summary of Session 1,Your Feedback on Session 1
Timothy Holland,Timothy.Holland@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
John Brandt,John.Brandt@gmail.com,8803292845,switched off,not reachable,"Completed Monday, 14 November 2016, 1:10 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Thomas Alexander,Thomas.Alexander@gmail.com,8644238332,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Monica Smith,Monica.Smith@gmail.com,7812342160,"didnt get time, will complete today",time issue,"Completed Saturday, 19 November 2016, 6:00 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Allen Jackson,Allen.Jackson@rediffmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Mario Mills,Mario.Mills@yahoo.com,8147587127,not responding,not reachable,"Completed Friday, 18 November 2016, 2:16 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Shawn Brooks,Shawn.Brooks@gmail.com,8298919858,not responding,not reachable,"Completed Monday, 14 November 2016, 8:42 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Emily Campbell,Emily.Campbell@gmail.com,,,,"Completed Sunday, 20 November 2016, 10:14 PM","Completed Sunday, 20 November 2016, 10:23 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 10:25 PM","Completed Sunday, 20 November 2016, 10:26 PM","Completed Sunday, 20 November 2016, 10:34 PM","Completed Sunday, 20 November 2016, 10:37 PM","Completed Sunday, 20 November 2016, 10:37 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 10:46 PM","Completed Sunday, 20 November 2016, 10:50 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 10:54 PM","Completed Sunday, 20 November 2016, 10:55 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Chad Riley,Chad.Riley@rajeshshethia.com,,,,"Completed Saturday, 19 November 2016, 11:01 PM","Completed Saturday, 19 November 2016, 11:09 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 11:11 PM","Completed Saturday, 19 November 2016, 11:11 PM","Completed Saturday, 19 November 2016, 11:20 PM","Not completed Thursday, 1 January 1970, 5:30 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Melissa Taylor,Melissa.Taylor@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Benjamin Adams,Benjamin.Adams@gmail.com,8972360106,switched off,not reachable,"Completed Wednesday, 16 November 2016, 11:21 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Kevin Browning,Kevin.Browning@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Michael Nielsen,Michael.Nielsen@gmail.com,9272741391,incorrect no,not reachable,"Completed Thursday, 17 November 2016, 10:04 AM","Completed Thursday, 17 November 2016, 10:05 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Courtney Suarez,Courtney.Suarez@gmail.com,NA,NA,NA,"Completed Sunday, 20 November 2016, 7:51 PM","Completed Sunday, 20 November 2016, 7:58 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:00 PM","Completed Sunday, 20 November 2016, 8:00 PM","Completed Sunday, 20 November 2016, 8:32 PM","Completed Sunday, 20 November 2016, 8:34 PM","Completed Sunday, 20 November 2016, 8:34 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:44 PM","Completed Sunday, 20 November 2016, 8:44 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:55 PM","Completed Sunday, 20 November 2016, 8:55 PM","Completed Sunday, 20 November 2016, 9:15 PM","Completed Sunday, 20 November 2016, 9:16 PM","Completed Sunday, 20 November 2016, 9:25 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 10:03 PM","Completed Sunday, 20 November 2016, 10:04 PM","Completed Sunday, 20 November 2016, 10:09 PM"
Joseph Williams,Joseph.Williams@Gmail.com,NA,NA,NA,"Completed Saturday, 19 November 2016, 2:37 PM","Completed Saturday, 19 November 2016, 2:50 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 2:51 PM","Completed Saturday, 19 November 2016, 2:52 PM","Completed Saturday, 19 November 2016, 3:09 PM","Completed Saturday, 19 November 2016, 3:13 PM","Completed Saturday, 19 November 2016, 3:14 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 3:23 PM","Completed Saturday, 19 November 2016, 3:24 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 3:30 PM","Completed Saturday, 19 November 2016, 5:41 PM","Completed Saturday, 19 November 2016, 5:59 PM","Completed Saturday, 19 November 2016, 5:59 PM","Completed Saturday, 19 November 2016, 6:05 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 6:10 PM","Completed Saturday, 19 November 2016, 6:11 PM","Completed Sunday, 20 November 2016, 9:36 PM"
John Kirk,John.Kirk@gmail.com,NA,NA,NA,"Completed Tuesday, 15 November 2016, 10:47 AM","Completed Tuesday, 15 November 2016, 8:47 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 8:51 PM","Completed Tuesday, 15 November 2016, 8:51 PM","Completed Tuesday, 15 November 2016, 9:02 PM","Completed Tuesday, 15 November 2016, 9:26 PM","Completed Tuesday, 15 November 2016, 9:29 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 9:32 PM","Completed Tuesday, 15 November 2016, 9:33 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 9:44 PM","Completed Tuesday, 15 November 2016, 9:44 PM","Completed Tuesday, 15 November 2016, 9:52 PM","Completed Tuesday, 15 November 2016, 9:53 PM","Completed Tuesday, 15 November 2016, 10:00 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 10:11 PM","Completed Tuesday, 15 November 2016, 10:11 PM","Completed Friday, 18 November 2016, 10:04 PM"
Timothy Martinez,Timothy.Martinez@gmail.com,9446206783,,,"Completed Saturday, 19 November 2016, 6:02 PM","Completed Saturday, 19 November 2016, 6:15 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 6:19 PM","Completed Saturday, 19 November 2016, 6:19 PM","Completed Saturday, 19 November 2016, 6:30 PM","Completed Saturday, 19 November 2016, 6:38 PM","Completed Saturday, 19 November 2016, 6:39 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 6:53 PM","Completed Saturday, 19 November 2016, 6:53 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Deanna Patterson,Deanna.Patterson@gmail.com,9953415848,"he is not aware , will check with his son",time issue,"Completed Sunday, 20 November 2016, 9:50 AM","Completed Sunday, 20 November 2016, 11:03 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Brittany Jacobs,Brittany.Jacobs@gmail.com,9906571066,"were busy , asked to call later",couldnt speak,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Abigail Smith,Abigail.Smith@gmail.com,8419378358,disconnected,couldnt speak,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Justin Lee,Justin.Lee@gmail.com,9064651876,"tests are going on, won't be possible for another week.",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Monica Hunter,Monica.Hunter@ourmaninindia.com,9023476825,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Jeffrey Greer,Jeffrey.Greer@gmail.com,8439189879,"did not find time as father out of town , will try to finish by saturday",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Tina Allison,Tina.Allison@yahoo.co.in,7735611086,not responding,not reachable,"Completed Thursday, 17 November 2016, 7:33 AM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Pedro Stevens,Pedro.Stevens@mrccsolutions.com,NA,NA,NA,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Scott Brewer,Scott.Brewer@gmail.com,8485834350,"Exams were going on , mother will ask to her son to complete first session soon",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Brandon Hanson,Brandon.Hanson@gmail.com,8351312760,"father had no idea whatsoever about Enlearning, he enrolled for many courses online for his son, will check back and revert",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
